method,repeat,batch_index,batch_size,runtime_sec,runtime_ms_per_image
U-Tikhonov T16/CG64,1,4,1,0.10967250000976492,109.67250000976492
U-Tikhonov T16/CG64,1,5,1,0.10914195800432935,109.14195800432935
U-Tikhonov T16/CG64,1,6,1,0.10920779200387187,109.20779200387187
U-Tikhonov T16/CG64,1,7,1,0.10975904199585784,109.75904199585784
U-Tikhonov T16/CG64,1,8,1,0.1082660410029348,108.2660410029348
U-Tikhonov T16/CG64,1,9,1,0.10715575001086108,107.15575001086108
U-Tikhonov T16/CG64,2,0,1,0.10635154199553654,106.35154199553654
U-Tikhonov T16/CG64,2,1,1,0.11035220800840762,110.35220800840762
U-Tikhonov T16/CG64,2,2,1,0.11183920800976921,111.83920800976921
U-Tikhonov T16/CG64,2,3,1,0.10731741700146813,107.31741700146813
U-Tikhonov T16/CG64,2,4,1,0.11246604200277943,112.46604200277943
U-Tikhonov T16/CG64,2,5,1,0.1080002910020994,108.0002910020994
U-Tikhonov T16/CG64,2,6,1,0.10710441599076148,107.10441599076148
U-Tikhonov T16/CG64,2,7,1,0.1083134580112528,108.3134580112528
U-Tikhonov T16/CG64,2,8,1,0.10821400000713766,108.21400000713766
U-Tikhonov T16/CG64,2,9,1,0.10781825000594836,107.81825000594836
U-Tikhonov T16/CG64,3,0,1,0.11106112498964649,111.06112498964649
U-Tikhonov T16/CG64,3,1,1,0.11403450000216253,114.03450000216253
U-Tikhonov T16/CG64,3,2,1,0.11178933300834615,111.78933300834615
U-Tikhonov T16/CG64,3,3,1,0.10997533400950488,109.97533400950488
U-Tikhonov T16/CG64,3,4,1,0.10854958300478756,108.54958300478756
U-Tikhonov T16/CG64,3,5,1,0.11071816700859927,110.71816700859927
U-Tikhonov T16/CG64,3,6,1,0.1161891670053592,116.1891670053592
U-Tikhonov T16/CG64,3,7,1,0.1176189580000937,117.6189580000937
U-Tikhonov T16/CG64,3,8,1,0.11371104200952686,113.71104200952686
U-Tikhonov T16/CG64,3,9,1,0.11370395800622646,113.70395800622646
U-Tikhonov T16/CG64,4,0,1,0.1464656250027474,146.4656250027474
U-Tikhonov T16/CG64,4,1,1,0.14538279200496618,145.38279200496618
U-Tikhonov T16/CG64,4,2,1,0.13882395799737424,138.82395799737424
U-Tikhonov T16/CG64,4,3,1,0.1416917500027921,141.6917500027921
U-Tikhonov T16/CG64,4,4,1,0.12253504099498969,122.53504099498969
U-Tikhonov T16/CG64,4,5,1,0.13117445800162386,131.17445800162386
U-Tikhonov T16/CG64,4,6,1,0.10810958300135098,108.10958300135098
U-Tikhonov T16/CG64,4,7,1,0.10760929199750535,107.60929199750535
U-Tikhonov T16/CG64,4,8,1,0.11179562500910833,111.79562500910833
U-Tikhonov T16/CG64,4,9,1,0.11007183299807366,110.07183299807366
